id,codigo,nombre,departamento_id
562,76243,"El Águila",19
563,76250,"El Dovio",19
564,15087,"Belén",13
565,47053,Aracataca,20
566,25793,Tausa,15
567,25328,"Guayabal De Síquima",15
568,47703,"San Zenón",20
569,41357,"Íquira",1
570,19318,"Guapí",16
571,91669,"Puerto Santander",28
572,73624,Rovira,24
573,52473,Mosquera,3
574,52224,"Cuaspúd",3
575,15814,Toca,13
576,15097,Boavita,13
577,52317,Guachucal,3
578,70678,"San Benito Abad",18
579,52573,Puerres,3
580,15518,Pajarito,13
581,13760,Soplaviento,12
582,15317,Guacamayas,13
583,15232,"Chíquiza",13
584,25649,"San Bernardo",15
585,68318,Guaca,17
586,5212,Copacabana,8
587,23678,"San Carlos",5
588,52381,"La Florida",3
589,47258,"El Piñón",20
590,47318,Guamal,20
591,52203,"Colón",3
592,23182,"Chinú",5
593,15599,"Ramiriquí",13
594,15183,Chita,13
595,13490,"Norosí",12
596,41676,"Santa María",1
597,15466,"Monguí",13
598,15476,Motavita,13
599,15494,"Nuevo Colón",13
600,76233,Dagua,19
601,5059,Armenia,8
602,19622,Rosas,16
603,5361,Ituango,8
604,13188,Cicuco,12
605,5264,"Entrerríos",8
606,76736,Sevilla,19
607,47205,Concordia,20
608,13440,Margarita,12
609,70713,"San Onofre",18
610,95025,"El Retorno",29
611,85263,Pore,26
612,68013,Aguada,17
613,68176,Chima,17
614,76400,"La Unión",19
615,73352,Icononzo,24
616,68385,"Landázuri",17
617,54206,"Convención",10
618,52678,Samaniego,3
619,5313,Granada,8
620,73030,Ambalema,24
621,85225,"Nunchía",26
622,52378,"La Cruz",3
623,70221,"Coveñas",18
624,76828,Trujillo,19
625,70523,Palmito,18
626,73443,"San Sebastián De Mariquita",24
627,5209,Concordia,8
628,13647,"San Estanislao",12
629,15776,"Sutamarchán",13
630,20621,"La Paz",7
631,63690,Salento,21
632,15686,Santana,13
633,15187,"Chivatá",13
634,52207,"Consacá",3
635,41770,Suaza,1
636,17877,Viterbo,4
637,13670,"San Pablo",12
638,25295,"Gachancipá",15
639,5697,"El Santuario",8
640,13780,"Talaigua Nuevo",12
641,81220,"Cravo Norte",27
642,13222,Clemencia,12
643,25126,"Cajicá",15
644,13673,"Santa Catalina",12
645,81300,Fortul,27
646,15531,Pauna,13
647,19022,Almaguer,16
648,20295,Gamarra,7
649,20060,Bosconia,7
650,5674,"San Vicente Ferrer",8
651,5656,"San Jerónimo",8
652,91407,"La Pedrera",28
653,5649,"San Carlos",8
654,5686,"Santa Rosa De Osos",8
655,52036,"Ancuyá",3
656,76246,"El Cairo",19
657,68245,"El Guacamayo",17
658,50313,Granada,22
659,50325,"Mapiripán",22
660,23189,"Ciénaga De Oro",5
661,23090,Canalete,5
662,13433,Mahates,12
663,70124,Caimito,18
664,76497,Obando,19
665,68780,"Suratá",17
666,76100,"Bolívar",19
667,15621,"Rondón",13
668,5658,"San José De La Montaña",8
669,66440,Marsella,9
670,5364,"Jardín",8
671,25279,"Fómeque",15
672,73861,Venadillo,24
673,25873,"Villapinzón",15
674,25745,Simijaca,15
675,76306,Ginebra,19
676,73770,"Suárez",24
677,13683,"Santa Rosa",12
678,15403,"La Uvita",13
679,85400,"Támara",26
680,25885,"Yacopí",15
681,25335,Guayabetal,15
682,52694,"San Pedro De Cartago",3
683,25718,Sasaima,15
684,23464,Momil,5
685,41791,Tarqui,1
686,5480,"Mutatá",8
687,73026,Alvarado,24
688,52418,"Los Andes",3
689,27250,"El Litoral Del San Juan",6
690,25312,Granada,15
691,19418,"López De Micay",16
692,68147,Capitanejo,17
693,50689,"San Martín",22
694,5664,"San Pedro De Los Milagros",8
695,41378,"La Argentina",1
696,95015,Calamar,29
697,19300,"Guachené",16
698,5543,Peque,8
699,13580,Regidor,12
700,86885,"Villagarzón",25
701,5790,"Tarazá",8
702,15542,Pesca,13
703,25178,Chipaque,15
704,18610,"San José Del Fragua",23
705,76563,Pradera,19
706,19533,Piamonte,16
707,52320,Guaitarilla,3
708,68327,"Güepsa",17
709,5667,"San Rafael",8
710,68152,"Carcasí",17
711,5856,"Valparaíso",8
712,5147,Carepa,8
713,27491,"Nóvita",6
714,8560,Ponedera,11
715,15790,Tasco,13
716,54051,Arboledas,10
717,25095,Bituima,15
718,68296,"Galán",17
719,68773,Sucre,17
720,76113,Bugalagrande,19
721,18460,"Milán",23
722,20614,"Río De Oro",7
723,25398,"La Peña",15
724,15667,"San Luis De Gaceno",13
725,41319,Guadalupe,1
726,5885,"Yalí",8
727,99524,"La Primavera",32
728,25592,Quebradanegra,15
729,15236,Chivor,13
730,76126,Calima,19
731,25807,Tibirita,15
732,5483,"Nariño",8
733,5036,"Angelópolis",8
734,5541,"Peñol",8
735,47541,Pedraza,20
736,27245,"El Carmen De Atrato",6
737,23068,Ayapel,5
738,25596,Quipile,15
739,5893,"Yondó",8
740,25530,Paratebueno,15
741,25151,"Cáqueza",15
742,5376,"La Ceja",8
743,17444,Marquetalia,4
744,5652,"San Francisco",8
745,15162,Cerinza,13
746,15442,"Maripí",13
747,25245,"El Colegio",15
748,18247,"El Doncello",23
749,25662,"San Juan De Rioseco",15
750,25086,"Beltrán",15
751,73873,Villarrica,24
752,25326,Guatavita,15
753,18860,"Valparaíso",23
754,81591,"Puerto Rondón",27
755,76403,"La Victoria",19
756,54261,"El Zulia",10
757,25871,"Villagómez",15
758,15244,"El Cocuy",13
759,47605,Remolino,20
760,50245,"El Calvario",22
761,41483,"Nátaga",1
762,94883,"San Felipe",33
763,73347,Herveo,24
764,5197,"Cocorná",8
765,73226,Cunday,24
766,44420,"La Jagua Del Pilar",14
767,17272,Filadelfia,4
768,54377,Labateca,10
769,25368,"Jerusalén",15
770,54720,Sardinata,10
771,85015,"Chámeza",26
772,73547,Piedras,24
773,54599,Ragonvalia,10
774,25317,"Guachetá",15
775,85315,"Sácama",26
776,25513,Pacho,15
777,54660,Salazar,10
778,25805,Tibacuy,15
779,5679,"Santa Bárbara",8
780,15879,"Viracachá",13
781,86755,"San Francisco",25
782,25815,Tocaima,15
783,19701,"Santa Rosa",16
784,54553,"Puerto Santander",10
785,68320,Guadalupe,17
786,25200,Cogua,15
787,41503,Oporapa,1
788,52250,"El Charco",3
789,25867,"Vianí",15
790,8770,Suan,11
791,68573,"Puerto Parra",17
792,52260,"El Tambo",3
793,52520,"Francisco Pizarro",3
794,5021,"Alejandría",8
795,13600,"Río Viejo",12
796,41799,Tello,1
797,15135,Campohermoso,13
798,15172,Chinavita,13
799,52696,"Santa Bárbara",3
800,15299,Garagoa,13
801,15580,"Quípama",13
802,25426,"Machetá",15
803,52385,"La Llanada",3
804,52051,Arboleda,3
805,17486,Neira,4
806,15664,"San José De Pare",13
807,15296,"Gámeza",13
808,5042,"Santa Fé De Antioquia",8
809,13894,Zambrano,12
810,5347,Heliconia,8
811,13873,Villanueva,12
812,5310,"Gómez Plata",8
813,68160,"Cepitá",17
814,70717,"San Pedro",18
815,85325,"San Luis De Palenque",26
816,52683,"Sandoná",3
817,68235,"El Carmen De Chucurí",17
818,5079,Barbosa,8
819,86749,Sibundoy,25
820,18094,"Belén De Los Andaquíes",23
821,73124,Cajamarca,24
822,68572,"Puente Nacional",17
823,5736,Segovia,8
824,13810,Tiquisio,12
825,15464,Mongua,13
826,19785,Sucre,16
827,17616,Risaralda,4
828,27073,"Bagadó",6
829,13300,"Hatillo De Loba",12
830,76036,"Andalucía",19
831,5038,Angostura,8
832,68051,Aratoca,17
833,5107,"Briceño",8
834,73270,Falan,24
835,5150,Carolina,8
836,20228,"Curumaní",7
837,99001,"Puerto Carreño",32
838,44855,Urumita,14
839,15755,"Socotá",13
840,5190,Cisneros,8
841,18785,Solita,23
842,88564,Providencia,31
843,41206,Colombia,1
844,5495,"Nechí",8
845,70233,"El Roble",18
846,50270,"El Dorado",22
847,27150,"Carmen Del Darién",6
848,27745,"Sipí",6
849,27075,"Bahía Solano",6
850,52585,Pupiales,3
851,76054,Argelia,19
852,15693,"Santa Rosa De Viterbo",13
853,25019,"Albán",15
854,8832,"Tubará",11
855,52354,"Imués",3
856,25645,"San Antonio Del Tequendama",15
857,23682,"San José De Uré",5
858,44098,"Distracción",14
859,5425,Maceo,8
860,13655,"San Jacinto Del Cauca",12
861,19780,"Suárez",16
862,68464,Mogotes,17
863,73686,"Santa Isabel",24
864,47692,"San Sebastián De Buenavista",20
865,68344,Hato,17
866,8141,Candelaria,11
867,15806,Tibasosa,13
868,27205,Condoto,6
869,52019,"Albán",3
870,27006,"Acandí",6
871,27086,"Belén De Bajirá",6
872,25841,Ubaque,15
873,25320,Guaduas,15
874,50330,Mesetas,22
875,17524,Palestina,4
876,44874,Villanueva,14
877,17665,"San José",4
878,41660,Saladoblanco,1
879,15764,"Soracá",13
880,15761,Somondoco,13
881,68167,"Charalá",17
882,66687,Santuario,9
883,27135,"El Cantón Del San Pablo",6
884,5091,Betania,8
885,27600,"Río Quito",6
886,50680,"San Carlos De Guaroa",22
887,25438,Medina,15
888,5809,"Titiribí",8
889,5576,Pueblorrico,8
890,25486,"Nemocón",15
891,25489,Nimaima,15
892,63111,Buenavista,21
893,68498,Ocamonte,17
894,25878,"Viotá",15
895,68533,"Páramo",17
896,25258,"El Peñón",15
897,54099,Bochalema,10
898,85136,"La Salina",26
899,25297,"Gachetá",15
900,68444,Matanza,17
901,68522,Palmar,17
902,25436,Manta,15
903,68217,Coromoro,17
904,8558,Polonuevo,11
905,25324,"Guataquí",15
906,68211,"Contratación",17
907,94663,Mapiripana,33
908,15092,"Betéitiva",13
909,25001,"Agua De Dios",15
910,8634,Sabanagrande,11
911,15646,"Samacá",13
912,68179,"Chipatá",17
913,15810,Tipacoque,13
914,41801,Teruel,1
915,15720,Sativanorte,13
916,15723,Sativasur,13
917,15522,Panqueba,13
918,15537,"Paz De Río",13
919,68820,Tona,17
920,15511,Pachavita,13
921,15839,"Tutazá",13
922,15897,Zetaquira,13
923,15204,"Cómbita",13
924,15109,Buenavista,13
925,15514,"Páez",13
926,52621,"Roberto Payán",3
927,27430,"Medio Baudó",6
928,52480,"Nariño",3
929,91540,"Puerto Nariño",28
930,54871,"Villa Caro",10
931,68705,"Santa Bárbara",17
932,68855,"Valle De San José",17
933,68872,Villanueva,17
934,15753,"Soatá",13
935,15215,Corrales,13
936,41797,Tesalia,1
937,13268,"El Peñón",12
938,15676,"San Miguel De Sema",13
939,70265,Guaranda,18
940,68266,Enciso,17
941,5315,Guadalupe,8
942,5086,Belmira,8
943,70110,Buenavista,18
944,52885,Yacuanquer,3
945,47460,"Nueva Granada",20
946,25779,Susa,15
947,17050,Aranzazu,4
948,52693,"San Pablo",3
949,19050,Argelia,16
950,52240,"Chachagüí",3
951,15491,Nobsa,13
952,50590,"Puerto Rico",22
953,52210,Contadero,3
954,15533,Paya,13
955,52258,"El Tablón De Gómez",3
956,15223,"Cubará",13
957,23168,"Chimá",5
958,76890,Yotoco,19
959,47170,Chivolo,20
960,52352,Iles,3
961,66383,"La Celia",9
962,25491,Nocaima,15
963,73461,Murillo,24
964,5306,Giraldo,8
965,19809,"Timbiquí",16
966,63272,Filandia,21
967,15226,"Cuítiva",13
968,5206,"Concepción",8
969,68370,"Jordán",17
970,25299,Gama,15
971,19845,"Villa Rica",16
972,15185,Chitaraque,13
973,76318,"Guacarí",19
974,68502,Onzaga,17
975,15638,"Sáchica",13
976,54174,"Chitagá",10
977,25845,Une,15
978,13458,Montecristo,12
979,25488,Nilo,15
980,68684,"San José De Miranda",17
981,54673,"San Cayetano",10
982,15673,"San Mateo",13
983,68264,Encino,17
984,95200,Miraflores,29
985,68298,"Gámbita",17
986,68745,Simacota,17
987,54172,"Chinácota",10
988,25851,"Útica",15
989,68250,"El Peñón",17
990,25599,Apulo,15
991,15368,"Jericó",13
992,15051,Arcabuco,13
993,15550,Pisba,13
994,25281,Fosca,15
995,15835,"Turmequé",13
996,70204,"Colosó",18
997,15218,"Covarachía",13
998,15224,Cucaita,13
999,15757,Socha,13
1000,25797,Tena,15
1001,68377,"La Belleza",17
1002,73563,Prado,24
1003,15362,Iza,13
1004,15367,Jenesano,13
1005,13160,Cantagallo,12
1006,50124,Cabuyaro,22
1007,50223,Cubarral,22
1008,20032,Astrea,7
1009,25862,Vergara,15
1010,76020,"Alcalá",19
1011,63470,Montenegro,21
1012,52254,"El Peñol",3
1013,15131,Caldas,13
1014,63548,Pijao,21
1015,5854,Valdivia,8
1016,27660,"San José Del Palmar",6
1017,13620,"San Cristóbal",12
1018,5390,"La Pintada",8
1019,97511,Pacoa,30
1020,8849,"Usiacurí",11
1021,91460,"Mirití - Paraná",28
1022,25483,"Nariño",15
1023,25120,Cabrera,15
1024,68207,"Concepción",17
1025,25040,Anolaima,15
1026,54743,Silos,10
1027,15740,Siachoque,13
1028,25898,"Zipacón",15
1029,68169,Charta,17
1030,54670,"San Calixto",10
1031,91405,"La Chorrera",28
1032,85300,Sabanalarga,26
1033,19513,Padilla,16
1034,44110,"El Molino",14
1035,41026,Altamira,1
1036,15696,"Santa Sofía",13
1037,15820,"Tópaga",13
1038,15832,"Tununguá",13
1039,15090,Berbeo,13
1040,54223,Cucutilla,10
1041,15763,"Sotaquirá",13
1042,73043,"Anzoátegui",24
1043,50400,"Lejanías",22
1044,50683,"San Juan De Arama",22
1045,54245,"El Carmen",10
1046,15401,"La Victoria",13
1047,15816,"Togüí",13
1048,50251,"El Castillo",22
1049,70400,"La Unión",18
1050,5321,"Guatapé",8
1051,68867,Vetas,17
1052,52685,"San Bernardo",3
1053,73055,Armero,24
1054,25394,"La Palma",15
1055,5353,Hispania,8
1056,73148,"Carmen De Apicalá",24
1057,68524,"Palmas Del Socorro",17
1058,68209,Confines,17
1059,70230,"Chalán",18
1060,15272,Firavitoba,13
1061,73024,Alpujarra,24
1062,94343,"Barranco Minas",33
1063,47675,Salamina,20
1064,68162,Cerrito,17
1065,68271,"Florián",17
1066,18410,"La Montañita",23
1067,54680,Santiago,10
1068,54109,Bucarasica,10
1069,15425,Macanal,13
1070,15022,Almeida,13
1071,54418,Lourdes,10
1072,68673,"San Benito",17
1073,52427,"Magüí",3
1074,5819,Toledo,8
1075,47161,"Cerro De San Antonio",20
1076,15106,"Briceño",13
1077,15762,Sora,13
1078,5145,Caramanta,8
1079,50686,"San Juanito",22
1080,18479,Morelia,23
1081,47030,Algarrobo,20
1082,15293,"Gachantivá",13
1083,52565,Providencia,3
1084,15690,"Santa María",13
1085,52022,Aldana,3
1086,15276,Floresta,13
1087,68425,Macaravita,17
1088,54313,Gramalote,10
1089,5842,Uramita,8
1090,91263,"El Encanto",28
1091,15808,"Tinjacá",13
1092,97889,"Yavaraté",30
1093,54250,"El Tarra",10
1094,15822,Tota,13
1095,73520,Palocabildo,24
1096,15332,"Güicán De La Sierra",13
1097,68322,"Guapotá",17
1098,68324,"Guavatá",17
1099,68368,"Jesús María",17
1100,94888,Morichal,33
1101,94887,"Pana Pana",33
1102,85279,Recetor,26
1103,15798,Tenza,13
1104,68549,Pinchote,17
1105,15774,"Susacón",13
1106,5004,"Abriaquí",8
1107,54480,Mutiscua,10
1108,68686,"San Miguel",17
1109,19290,Florencia,16
1110,15114,"Busbanzá",13
1111,5475,"Murindó",8
1112,54239,Durania,10
1113,54125,"Cácota",10
1114,15660,"San Eduardo",13
